orderID,price,quantity,type,side,fullyFilled
54,74188,33,1,0,0
386,74188,33,1,1,1
343,74206,418,1,1,1
397,74206,418,1,0,0
139,74207,7,1,1,1
397,74207,7,1,0,0
381,74207,3,1,1,0
397,74207,3,1,0,1
397,0,0,1,0,1
386,74197,363,1,0,0
399,74197,363,1,1,1
386,74197,67,1,0,1
407,74197,67,1,1,0
139,74192,180,1,0,1
407,74192,180,1,1,0
391,74191,7,1,0,0
407,74191,7,1,1,1
139,74206,233,1,1,1
408,74206,233,1,0,0
381,74207,84,1,1,0
408,74207,84,1,0,1
410,74192,296,1,0,1
411,74192,296,1,1,0
391,74191,124,1,0,1
411,74191,124,1,1,0
405,74191,34,1,0,0
411,74191,34,1,1,1
405,74191,68,1,0,1
411,74191,68,1,1,0
43,74190,204,1,0,1
411,74190,204,1,1,0
54,74188,94,1,0,0
411,74188,94,1,1,1
381,74207,360,1,1,1
414,74207,360,1,0,0
411,74208,15,1,1,0
414,74208,15,1,0,1
241,74219,401,0,1,1
43,74189,205,1,0,1
416,74189,205,1,1,0
54,74188,111,1,0,1
416,74188,111,1,1,0
97,74188,98,1,0,0
416,74188,98,1,1,1
411,74208,147,1,1,1
416,74208,147,1,0,0
370,74209,26,1,1,0
416,74209,26,1,0,1
370,74209,333,1,1,0
416,74209,333,1,0,1
155,74213,371,0,1,1
43,74207,375,1,1,0
424,74207,375,1,0,1
263,74210,397,0,1,1
379,74186,328,0,0,1
420,74197,277,1,0,1
428,74197,277,1,1,0
411,74193,148,1,0,1
428,74193,148,1,1,0
419,74191,56,1,0,0
428,74191,56,1,1,1
43,74207,115,1,1,1
420,74207,115,1,0,0
370,74209,53,1,1,0
420,74209,53,1,0,1
370,74209,4,1,1,1
429,74209,4,1,0,0
385,74209,306,1,1,0
429,74209,306,1,0,1
429,0,0,1,0,1
385,74209,11,1,1,1
429,74209,11,1,0,0
280,74210,347,1,1,0
429,74210,347,1,0,1
324,74178,332,0,0,1
224,74217,238,0,1,1
419,74191,115,1,0,1
435,74191,115,1,1,0
43,74191,335,1,0,0
435,74191,335,1,1,1
302,74188,300,0,0,1
43,74191,147,1,0,1
437,74191,147,1,1,0
435,74190,234,1,0,1
437,74190,234,1,1,0
421,74189,28,1,0,0
437,74189,28,1,1,1
